column_name,data_type,category,description
countrynewwb,object,Demographics / Country Info,
codewb,object,Demographics / Country Info,
year,int64,Demographics / Country Info,
pop_adult,float64,Demographics / Population,
regionwb24_hi,object,Demographics / Country Info,
incomegroupwb24,object,Demographics / Country Info,
group,object,Grouping / Internal Index,
group2,object,Grouping / Internal Index,
account_t_d,float64,Financial / Account Ownership & Access,
fiaccount_t_d,float64,Financial / Account Ownership & Access,
mobileaccount_t_d,float64,Financial / Account Ownership & Access,
borrow_any_t_d,float64,Financial / Borrowing & Credit,
fin4_d,float64,Financial / Account Ownership & Access,
dig_acc,float64,Connectivity / Digital,
fin11_2a,float64,Financial / Account Ownership & Access,
fin11a,float64,Financial / Account Ownership & Access,
fin11b,float64,Financial / Account Ownership & Access,
fin11c,float64,Financial / Account Ownership & Access,
fin11f,float64,Financial / Account Ownership & Access,
fin11d,float64,Financial / Account Ownership & Access,
fin11e,float64,Financial / Account Ownership & Access,
fin14a,float64,Financial / Account Ownership & Access,
fin14b,float64,Financial / Account Ownership & Access,
fin14c,float64,Financial / Account Ownership & Access,
fin14d,float64,Financial / Account Ownership & Access,
fin13_1a,float64,Financial / Account Ownership & Access,
fin13_1b,float64,Financial / Account Ownership & Access,
fin26a,float64,Financial / Account Ownership & Access,
fin26b,float64,Financial / Account Ownership & Access,
fin27a,float64,Financial / Account Ownership & Access,
fin27b,float64,Financial / Account Ownership & Access,
fin17f,float64,Financial / Account Ownership & Access,
fin17a_17a1_d,float64,Financial / Account Ownership & Access,
fin17a,float64,Financial / Account Ownership & Access,
fin17b,float64,Financial / Account Ownership & Access,
fin17c,float64,Financial / Account Ownership & Access,
fin22d,float64,Financial / Account Ownership & Access,
fin22e,float64,Financial / Account Ownership & Access,
fin22a_22a1_22g_d,float64,Financial / Account Ownership & Access,
fin22a,float64,Financial / Account Ownership & Access,
fin22a_1,float64,Financial / Account Ownership & Access,
fin22b,float64,Financial / Account Ownership & Access,
fin22c,float64,Financial / Account Ownership & Access,
fin24sav,float64,Financial / Account Ownership & Access,
fin24fam,float64,Financial / Account Ownership & Access,
fin24work,float64,Financial / Account Ownership & Access,
fin24bor,float64,Financial / Account Ownership & Access,
fin24sell,float64,Financial / Account Ownership & Access,
fin24other,float64,Financial / Account Ownership & Access,
fin24aVD,float64,Financial / Account Ownership & Access,
fin24aSD,float64,Financial / Account Ownership & Access,
fin24aND,float64,Financial / Account Ownership & Access,
fin24aSD_ND,float64,Financial / Account Ownership & Access,
fin24aP,float64,Financial / Account Ownership & Access,
fin24aN,float64,Financial / Account Ownership & Access,
fin24sav_SD_ND,float64,Financial / Account Ownership & Access,
fin24fam_SD_ND,float64,Financial / Account Ownership & Access,
fin24work_SD_ND,float64,Financial / Account Ownership & Access,
fin24bor_SD_ND,float64,Financial / Account Ownership & Access,
fin24sell_SD_ND,float64,Financial / Account Ownership & Access,
fin24other_SD_ND,float64,Financial / Account Ownership & Access,
fin24sav_VD,float64,Financial / Account Ownership & Access,
fin24fam_VD,float64,Financial / Account Ownership & Access,
fin24work_VD,float64,Financial / Account Ownership & Access,
fin24bor_VD,float64,Financial / Account Ownership & Access,
fin24sell_VD,float64,Financial / Account Ownership & Access,
fin24other_VD,float64,Financial / Account Ownership & Access,
fh1,float64,Grouping / Internal Index,
fin28,float64,Financial / Account Ownership & Access,
fh2,float64,Grouping / Internal Index,
