countrynewwb,year,account_t_d,pop_adult,mobileaccount_t_d,internet,Predicted_Adoption
Afghanistan,2011,0.090050121,14575546.0,,,0.0030440380000000045
Albania,2011,0.282681244,2281010.0,,,0.004314252660000015
Algeria,2011,0.332861125,26251587.0,,,0.0030440380000000045
Angola,2011,0.392035423,12779501.0,,,0.0030440380000000045
Argentina,2011,0.33130217,30685516.0,,,0.0030440380000000045
Armenia,2011,0.174868727,2457011.0,,,0.004314252660000015
Australia,2011,0.990648467,17830548.0,,,0.0030440380000000045
Austria,2011,0.970817388,7123870.0,,,0.0030440380000000045
Azerbaijan,2011,0.149008504,7034188.0,,,0.0030440380000000045
Bahrain,2011,0.645145712,978145.0,,,0.0030440380000000045
Bangladesh,2011,0.317436491,100376575.0,,,0.0030440380000000045
Belarus,2011,0.586019795,8075665.0,,,0.0030440380000000045
Belgium,2011,0.963061274,9049843.0,,,0.0030440380000000045
Benin,2011,0.10463937,5496491.0,,,0.0030440380000000045
Bolivia,2011,0.280291328,6675907.0,,,0.0030440380000000045
Bosnia and Herzegovina,2011,0.562116083,3217823.0,,,0.005088750060000021
Botswana,2011,0.302600143,1340324.0,,,0.0030440380000000045
Brazil,2011,0.558603848,145842533.0,,,0.0030440380000000045
Bulgaria,2011,0.528249019,6400381.0,,,0.0030440380000000045
Burkina Faso,2011,0.13353092,8802362.0,,,0.0030440380000000045
Burundi,2011,0.072379846,5147947.0,,,0.0030440380000000045
Cambodia,2011,0.036597117,9675871.0,,,0.0030440380000000045
Cameroon,2011,0.148096124,11072780.0,,,0.0030440380000000045
Canada,2011,0.958046425,28373521.0,,,0.0030440380000000045
Central African Republic,2011,0.033008091,2428582.0,,,0.0030440380000000045
Chad,2011,0.089597456,6309105.0,,,0.0030440380000000045
Chile,2011,0.421792855,13480066.0,,,0.0030440380000000045
China,2011,0.638173129,1090576711.0,,,0.0030440380000000045
Colombia,2011,0.30427801,32481705.0,,,0.0030440380000000045
Comoros,2011,0.21694674,382348.0,,,0.0030440380000000045
"Congo, Dem. Rep.",2011,0.036967262,36981603.0,,,0.0030440380000000045
"Congo, Rep.",2011,0.100480566,2658255.0,,,0.0030440380000000045
Costa Rica,2011,0.503587278,3423771.0,,,0.0030440380000000045
Croatia,2011,0.883910203,3638504.0,,,0.0030440380000000045
Cyprus,2011,0.852376451,936237.0,,,0.0030440380000000045
Czechia,2011,0.806511951,8965818.0,,,0.0030440380000000045
Denmark,2011,0.997367892,4549535.0,,,0.0030440380000000045
Djibouti,2011,0.122738821,591971.0,,,0.0030440380000000045
Dominican Republic,2011,0.382046712,6788648.0,,,0.0030440380000000045
Ecuador,2011,0.367355009,10352753.0,,,0.0030440380000000045
"Egypt, Arab Rep.",2011,0.097199806,58969826.0,,,0.0030440380000000045
