regionwb24_hi,Account_Type,Average_Rate
East Asia & Pacific (excluding high income),mobileaccount_t_d,0.2886334167408413
Europe & Central Asia (excluding high income),mobileaccount_t_d,0.2130664607
High income,mobileaccount_t_d,0.2881959332192982
Latin America & Caribbean (excluding high income),mobileaccount_t_d,0.22353041116739436
Middle East & North Africa (excluding high income),mobileaccount_t_d,0.13384188974346609
South Asia (excluding high income),mobileaccount_t_d,0.176678539351343
Sub-Saharan Africa (excluding high income),mobileaccount_t_d,0.35290571436868773
East Asia & Pacific (excluding high income),account_t_d,0.5680313427618426
Europe & Central Asia (excluding high income),account_t_d,0.5528008149027221
High income,account_t_d,0.877423170892341
Latin America & Caribbean (excluding high income),account_t_d,0.4759021969050772
Middle East & North Africa (excluding high income),account_t_d,0.3778300514041526
South Asia (excluding high income),account_t_d,0.49162966538317754
Sub-Saharan Africa (excluding high income),account_t_d,0.42694348401666615
