Feature,Importance
pop_adult,0.31124155136848447
account_t_d,0.23717355396441284
internet,0.18038178438303412
year,0.11896492936139805
regionwb24_hi_Sub-Saharan Africa (excluding high income),0.061631086081124165
incomegroupwb24_Upper middle income,0.03149161602805696
incomegroupwb24_Lower middle income,0.017533887114983663
regionwb24_hi_Europe & Central Asia (excluding high income),0.014157476036485456
regionwb24_hi_Latin America & Caribbean (excluding high income),0.013741002532381917
regionwb24_hi_Middle East & North Africa (excluding high income),0.010882754158798373
regionwb24_hi_South Asia (excluding high income),0.002800358970839721
